id,name,muscle_target,secondary_target,push_pull,muscle_group,diffulty_level,equipment,resistance_type,demo_src,quantity
480,1-Leg Slalom,legs,,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
481,1-Leg Squat,legs,,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
482,360 Ball Runner,cardio,,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
483,Abergnome,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
484,Adductor Lunge,legs,,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
485,Airplane Abs,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
486,Albanian Squat,legs,,,lower,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
487,Alternating Bent-over pull,back,biceps,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/alternating_bent_over_pulls.mp4,8-10 reps
488,Alternating Curls,biceps,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,8-10 reps
489,Alternating Fast Feed,cardio,,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
490,Alternating Shoulder Press,shoulders,,push,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/alternating_shoulder_press.mp4,8-10 reps
491,Alternating Side Lunges,legs,,,lower,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
492,Back Flys,back,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/back_flys.mp4,8-10 reps
493,Banana Knee Straight Leg Crunch,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
494,Banana Two Crunch,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
495,Bicycles,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
496,Blast-off pushup,chest,legs,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/blast_off_push_up.mp4,60 sec.
497,Bug Bicycle Crunch,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
498,Burpee,cardio,,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/burpee.mp4,60 sec.
499,Burpee Knee Tuck,legs,cardio,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
500,Butt Kicker,cardio,legs,N/A,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/butt_kicker.mp4,30 sec.
501,Calf Raises,legs,,,lower,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
502,Chair Dips,triceps,shoulders,push,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/chair_dips.mp4,60 sec.
503,Chin-ups,back,biceps,pull,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,Max reps
504,Clap or Plyo push-ups,chest,triceps,push,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
505,Close Grip Overhand pull-ups,back,biceps,pull,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
506,Concentration Curls,biceps,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/lower_stance_concnetration_curls.mp4,8-10 reps
507,Cross Leg / Wide Leg Sit-ups,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
508,Cross Toe Touch,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
509,Cross-Body Jumping Jack,cardio,,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/cross_body_jumping_jacks.mp4,60 sec.
510,Crunch,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
511,Crunchy Frog,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
512,Curl-up/Hammer Downs,biceps,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/curl_up_hammer_down.mp4,8-10 reps
513,Decline push-ups,chest,triceps,push,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
514,Deep Swimmer's Press,shoulders,,push,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/deep_swimmers_press.mp4,8-10 reps
515,Diagonal Mountain Climber,cardio,legs,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/diagonal_mountain_climber.mp4,60 sec.
516,Diamond push-ups,chest,triceps,push,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/diamond_pushups.mp4,60 sec.
517,Dive-bomber push-ups,chest,,push,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/dive_bomber_pushups.mp4,8-12 reps
518,Drop Squat,legs,cardio,N/A,lower,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/drop_squat.mp4,30 sec.
519,Dumbbell Cross-Body Blows,triceps,biceps,push,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/dumb_bell_cross_body_blows.mp4,8-10 reps
520,Dumbell pull Over,back,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/dumbbell_pull_over.mp4,8-10 reps
521,Elbows-Out Lawnmower pull,back,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/elbow_out_lawn_mowers.mp4,8-10 reps
522,Elevated Plank Row Hold,back,core,N/A,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/elevated_plan_row_hold.mp4,30 sec.
523,Extended Plank,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
524,Fast Feet Chair Jump,legs,cardio,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
571,Plank Reach,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
525,Flip-grip Twist Tricep Kickbacks,triceps,,push,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/flip_grip_tricep_kickbacks.mp4,8-10 reps
526,Floor Flys,chest,triceps,push,upper,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/floor_flys.mp4,60 sec.
527,Fly-Row Presses,shoulders,,Both,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,8-10 reps
528,Foot Tuck Jump,legs,cardio,,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
529,Front-to-back Tricep Extensions,triceps,,push,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/in_out_tricep_extensions.mp4,8-10 reps
530,Full Body Fly,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
531,Full Suspension Concentration Curls,biceps,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/full_suspension_curls.mp4,8-10 reps
532,Gate Bridge Lift,abs,,,core,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
533,Hammer Curls,biceps,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/hammer_curls.mp4,8-10 reps
534,Heavy Pants,back,,pull,upper,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/heavy_pants.mp4,8-10 reps
535,High-Knee Run,cardio,legs,N/A,lower,1,FALSE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/high_knee_run.mp4,30 sec.
