id,name,muscle_target,secondary_target,push_pull,muscle_group,diffulty_level,equipment,resistance_type,demo_src,quantity
112,1-Leg Slalom,legs,,,lower,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
113,1-Leg Squat,legs,,,lower,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
88,360 Ball Runner / Soccor,cardio,,,lower,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
136,Abergnome,abs,,,core,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
120,Adductor Lunge,legs,,,lower,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
149,Airplane Abs,abs,,,core,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
119,Albanian Squat,legs,,,lower,0,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
50,Alternating Bent-over pull,back,biceps,pull,upper,0,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/alternating_bent_over_pulls.mp4,8-10 reps
24,Alternating Curls,biceps,,pull,upper,0,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,8-10 reps
92,Alternating Fast Feed,cardio,,,lower,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
14,Alternating Shoulder Press,shoulders,,push,upper,0,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/alternating_shoulder_press.mp4,8-10 reps
117,Alternating Side Lunges,legs,,,lower,0,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
12,Back Flys,back,,pull,upper,0,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/back_flys.mp4,8-10 reps
131,Banana Knee Straight Leg Crunch,abs,,,core,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
122,Banana Two Crunch,abs,,,core,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
123,Bicycles,abs,,,core,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
80,Blast-off Push-Ups,chest,legs,,lower,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,Max reps
146,Blast-off pushup,chest,legs,,lower,1,TRUE,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/blast_off_push_up.mp4,60 sec.
138,Bug Bicycle Crunch,abs,,,core,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/standing_bicep_curls_weights.gif,60 sec.
90,Burpee,cardio,,,lower,0,,,https://workouttoday.s3.us-east-2.amazonaws.com/exercise_video_mp4/burpee.mp4,60 sec.
